Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
Party All Night,Yo Yo Honey Singh,BollywoodDance,Boss,0.9
Talli Tonight,"Deep Money, Meet Bros, Mellow D, Neha Kakkar",BollywoodDance,Veerey Ki Wedding,0.93
Darasal,Atif Aslam,BollywoodRomantic,Raabta,0.96
Mauja Hi Mauja,Mika Singh,BollywoodDance,Jab We Met,0.93
Dhokha Dhadi,Arijit Singh,BollywoodRomantic,R... Rajkumar,0.93
Dhoom Machale Dhoom,Aditi Singh Sharma,BollywoodDance,Dhoom 3,0.93
Ikk Kudi,Diljit Dosanjh,BollywoodRomantic,Udta Punjab,0.95
Jhalak Dikhla Ja,Himesh Reshammiya,BollywoodDance,Aksar,0.89
Baby Doll,"Anjjan, Kanika Kapoor, Meet Bros",BollywoodDance,Ragini MMS 2,0.8800000000000001
Laila O Laila,"Amit Kumar, Kanchan",BollywoodDance,Qurbani,0.8800000000000001
Jaane De,Atif Aslam,Bollywood,Qarib Qarib Singlle,0.96
Dilli Wali Girlfriend,"Arijit Singh, Sunidhi Chauhan",BollywoodDance,Yeh Jawaani Hai Deewani,0.9199999999999999
Mar Jaayen,Atif Aslam,BollywoodSad,Loveshhuda,0.97
I Love My India,"Hariharan, Kavita Krishnamurthy",BollywoodDance,Pardes,0.86
O Sahiba O Sahiba,"Kavita Krishnamurthy, Sonu Nigam",BollywoodSad,Dil Hai Tumhaara,0.8699999999999999
O Saaki Saaki,"Sukhwinder Singh, Sunidhi Chauhan",BollywoodDance,Musafir,0.9199999999999999
Let’s Talk About Love,"Manj Musik, Neha Kakkar, Raftaar",BollywoodDance,Baaghi,0.9199999999999999
Satakli,Sukhwinder Singh,BollywoodDance,Happy New Year,0.9199999999999999
Kashmir Main Tu Kanyakumari,"Arijit Singh, Neeti Mohan, Sunidhi Chauhan",BollywoodDance,Chennai Express,0.93
Kaala Doreya,Neha Bhasin,Bollywood,Kaalakaandi,0.93
Raabta,"Arijit Singh, Hamsika, Joi",BollywoodRomantic,Agent Vinod,0.95
Vele,"Shekhar Ravjiani, Vishal Dadlani",BollywoodDance,Student of the Year,0.95
440 Volt,Mika Singh,BollywoodDance,Sultan,0.89
Aapka Kya Hoga,"Arun Ingle, Mika Singh, Sajid Khan, Shankar Mahadevan, Sunidhi Chauhan",BollywoodDance,Housefull,0.9099999999999999
Tere Ishq Mein Naachenge,"Alisha Chinai, Kumar Sanu, Sapna Mukharji",BollywoodDance,Raja Hindustani,0.8699999999999999
Kisi Ki Muskurahaton Se,Mukesh,BollywoodDance,Anari,0.96
Bawara Mann,"Jubin Nautiyal, Neeti Mohan",BollywoodRomantic,Jolly LLB 2,0.93
Tere Bina (Guru),"A.R. Rahman, Chinmaye, Murtuza Khan, Qadir Khan",BollywoodDance,Guru,0.96
Itna Sannata Kyun Hai,"Aditi Singh Sharma, Amit Mishra",BollywoodDance,Golmaal Again,0.8699999999999999
Desi Look,Kanika Kapoor,BollywoodDance,Ek Paheli Leela,0.8699999999999999
Chamakti Shaam Hai,"Alka Yagnik, Sonu Nigam",BollywoodDance,Yaadein,0.89
Sarsariya,"Shashaa Tirupati, Shashwat Singh",BollywoodRomantic,Mohenjo Daro,0.9199999999999999
Jag Soona Soona Lage,Unknown,BollywoodSad,Om Shanti Om,0.9400000000000001
Kandhon Se Milte Hain Kandhe,"Hariharan, Kunal Ganjawala, Roop Kumar Rathod, Shankar Mahadevan, Sonu Nigam, Vijay Prakash",BollywoodPatriotic,Lakshya,0.95
Deewangi Deewangi,"Rahul Saxena, Shaan, Shreya Ghoshal, Sunidhi Chauhan, Udit Narayan",BollywoodDance,Om Shanti Om,0.93
Tareefan Remix,Badshah,BollywoodDance,Veere Di Wedding,0.93
Samjhawan,"Arijit Singh, Shreya Ghoshal",BollywoodSad,Humpty Sharma Ki Dulhania,0.9400000000000001
Bam Lahiri,Kailash Kher,BollywoodDance,Shor in the City,0.93
Chicken Kuk Doo Koo,"Mohit Chauhan, Palak Muchhal",BollywoodDance,Bajrangi Bhaijaan,0.89
Dhating Naach,"Nakash Aziz, Neha Kakkar",BollywoodDance,Phata Poster Nikhla Hero,0.9199999999999999
Tu Itni Khoobsurat Hai,Rahat Fateh Ali Khan,BollywoodSad,Barkhaa,0.95
O Priya Priya,"Anuradha Paudwal, Shabbir Kumar",BollywoodSad,Dil,0.76
Manchala,"Nupur Pant, Shafqat Amanat Ali",BollywoodSad,Hasee Toh Phasee,0.96
Lukka Chuppi,"A.R. Rahman, Lata Mangeshkar",BollywoodSad,Rang De Basanti,0.97
Prem Leela,"Aaman Trikha, Vineet Singh",BollywoodDance,Prem Ratan Dhan Payo,0.8
Khuda Jaane,"K.K., Shilpa Rao",BollywoodRomantic,Bachna Ae Haseeno,0.9400000000000001
Premika,"Benny Dayal, Kanika Kapoor",BollywoodDance,Dilwale,0.95
Tera Mujhse Hai Pehle Ka Naata Koi,"Kishore Kumar, Sushma Shrestha",BollywoodRomantic,Aa Gale Lag Jaa,0.9199999999999999
Character Dheela,"Amrita Kak, Neeraj Shridhar",BollywoodDance,Ready,0.93
Munni Badnam Hui,"Aishwarya, Mamta Sharma",BollywoodDance,Dabangg,0.8800000000000001
Saadda Haq,Mohit Chauhan,BollywoodDance,Rockstar,0.9400000000000001
Rehnuma,"Inder Bawra, Shreya Ghoshal",BollywoodRomanticSad,Rocky Handsome,0.95
Ilahi,Arijit Singh,BollywoodDance,Yeh Jawaani Hai Deewani,0.95
Neendein Khul Jaati Hain,"Kanika Kapoor, Meet Bros, Mika Singh",BollywoodDance,Hate Story 3,0.9099999999999999
Phir Le Aya Dil,Shafqat Amanat Ali,BollywoodSad,Barfi,0.97
Main Yahaan Hoon,Udit Narayan,BollywoodDance,Veer Zaara,0.9400000000000001
Soni Soni,"Ishaan, Jaspinder Narula, Manohar Shetty, Pritha Majumdar, Shweta Pandit, Sonali Bhatawdekar, Udbhav, Udit Narayan",BollywoodDance,Mohabbatein,0.9099999999999999
Rocket Saiyyan,"Brijesh Shandilya, Ritu Pathak, Tanishk Baagchi",BollywoodDance,Shubh Mangal Saavdhan,0.89
Khol De Par,Arijit Singh,Bollywood,Hichki,0.93
Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Mohabbatein,0.9099999999999999
Be Intehaan,"Atif Aslam, Sunidhi Chauhan",BollywoodRomantic,Race 2,0.9400000000000001
Subhanallah,"Shilpa Rao, Sreerama Chandra Mynampati",BollywoodRomantic,Yeh Jawaani Hai Deewani,0.95
Dholna,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,0.9099999999999999
Koi Ishaara,Armaan Malik,BollywoodRomanticSad,Force 2,0.96
Phir Bhi Dil Hai Hindustani,Udit Narayan,BollywoodDancePatriotic,Phir Bhi Dil Hai Hindustani,0.9
Kore Kore Sapne,"Anuradha Paudwal, Kumar Sanu",BollywoodDance,Sooryavansham,0.85
Hale Dil,Harshit Saxena,BollywoodRomantic,Murder 2,0.9199999999999999
Aaoge Jab Tum,Rashid Khan,BollywoodSad,Jab We Met,0.93
Tinku Jiya,"Javed Ali, Mamta Sharma",BollywoodDance,Yamla Pagla Deewana,0.9
Lakshya – Title Track,Shankar Mahadevan,BollywoodMotivationalPatriotic,Lakshya,0.96
Pretty Woman,"Ravi Khote, Shankar Mahadevan",BollywoodDance,Kal Ho Naa Ho,0.95
Silsila Ye Chaahat Ka,Shreya Ghoshal,BollywoodRomantic,Devdas,0.9400000000000001
Helicopter,"Neha Kakkar, Tony Kakkar",BollywoodDance,Ranchi Diaries,0.93
Kabhi Khushi Kabhie Gham,Lata Mangeshkar,BollywoodSad,Kabhi Khushi Kabhie Gham,0.9199999999999999
Chak Lein De,Kailash Kher,BollywoodMotivational,Chandni Chowk To China,0.93
Meri Aashiqui Ab Tum Hi Ho,"Arijit Singh, Palak Muchhal",BollywoodRomanticSad,Aashiqui 2,0.95
Tere Dware Pe Aai Baraat,"Ravindra Jain, Sudesh Bhosle",BollywoodDance,Vivah,0.8099999999999999
Badi Mushkil Hai,Abhijeet,BollywoodRomance,Anjaam,0.9199999999999999
Toh Dishoom,"Raftaar, Shahid Mallya",BollywoodDance,Dishoom,0.9400000000000001
Kudiye Ni Tere,"Shivangi Bhayana, Udit Narayan",BollywoodRomantic,Happy Phir Bhaag Jayegi,0.95
Hu Ba Hu,Amit Trivedi,BollywoodDance,Padman,0.9400000000000001
Kitna Pagal Dil Hai,Kumar Sanu,BollywoodRomantic,Andaaz,0.86
Sahiba Russ Gayiya,Rahat Fateh Ali Khan,BollywoodSad,Firangi,0.96
Mehfooz,Yasser Desai,BollywoodRomanticSad,Tera Intezaar,0.9199999999999999
Veerey Ki Wedding,Navraj Hans,BollywoodDance,Veerey Ki Wedding,0.9199999999999999
Ek Pal Ka Jeena,Lucky Ali,BollywoodDance,Kaho Naa.... Pyaar Hai,0.9199999999999999
Gori Tu Latth Maar,"Palak Muchhal, Sonu Nigam",BollywoodRomantic,Toilet Ek Prem Katha,0.9199999999999999
Jal Rahin Hain,Kailash Kher,Bollywood,Bahubali - The Beginning,0.89
Tum Jo Mile,Armaan Malik,BollywoodRomantic,Saansein,0.96
Saathiya Tune Kya Kiya,"K. S. Chithra, S.P. Balasubrahmanyam",BollywoodDance,Love,0.93
Humne Pee Rakhi Hai,"Ikka, Jaz Dhami, Neha Kakkar",BollywoodDance,Sanam Re,0.9
Bheegi Si Bhaagi Si,Mohit Chauhan,BollywoodRomance,Raajneeti,0.96
Chura Liya Hai,Mohammed Rafi,BollywoodRomantic,Yaadon Ki Barat,0.9
Right Now Now,"Sunidhi Chauhan, Suzanne D'Mello, Wajid",BollywoodDance,Housefull 2,0.9199999999999999
Crazy Kiya Re,Sunidhi Chauhan,BollywoodDance,Dhoom 2,0.93
Ziddi Dil,Vishal Dadlani,BollywoodMotivational,Mary Kom,0.9400000000000001
Abhi Abhi,K.K.,BollywoodRomanticSad,Jism 2,0.8699999999999999
Bahara,"Shreya Ghoshal, Sona Mohapatra",BollywoodRomantic,I Hate Luv Storys,0.96
Dekh Lena,"Arijit Singh, Tulsi Kumar",BollywoodRomantic,Tum Bin 2,0.93
Dheere Dheere Se Meri Zindagi Mein Aana,"Anuradha Paudwal, Kumar Sanu",Bollywood,Aashiqui,0.89
Tu Zaroori,"Sharib Sabri, Sunidhi Chauhan",BollywoodRomantic,ZiD,0.93
Afeemi,"Jigar Saraiya, Sanah Moidutty",BollywoodRomantic,Meri Pyaari Bindu,0.95
Salaam E Ishq,"Kunal Ganjawala, Sadhana Sargam, Shankar, Shreya Ghosal, Sonu Nigam",BollywoodDance,Salaam-E-Ishq,0.95
Naughty Billo,"Diljit Dosanjh, Nakash Aziz, Shilpi Paul",BollywoodDance,Phillauri,0.9
Behka,Vibha Saraf,BollywoodDance,High Jack,0.95
Pyar Ke Liye,Alka Yagnik,BollywoodRomantic,Dil Kya Kare,0.9199999999999999
Dil Na Diya,Kunal Ganjawala,BollywoodDance,Krrish,0.8800000000000001
Sukoon Mila,Arijit Singh,BollywoodRomantic,Mary Kom,0.96
Dil To Pagal Hai,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,0.8699999999999999
Do Anjaane Ajnabi,"Shreya Ghoshal, Udit Narayan",BollywoodRomantic,Vivah,0.8300000000000001
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,BollywoodRomantic,Rab Ne Bana Di Jodi,0.93
Palki Mein Hoke Sawar Chali Re,Alka Yagnik,BollywoodDance,Khal Nayak,0.8400000000000001
Andekhi Anjaani,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Mujhse Dosti Karoge!,0.9099999999999999
Dhinka Chika,"Amrita Kak, Mika Singh",BollywoodDance,Ready,0.8300000000000001
Main Agar,Atif Aslam,BollywoodRomantic,Tubelight,0.96
Kyon,"Papon, Sunidhi Chauhan",BollywoodRomantic,Barfi,0.96
Tera Mera Milna,"Himesh Reshammiya, Shreya Ghoshal",BollywoodSad,Aap Kaa Surroor,0.89
Daayre,Arijit Singh,BollywoodRomantic,Dilwale,0.95
Sahiba,"Pawni Pandey, Romy",BollywoodSad,Phillauri,0.95
Saajan Saajan,"Alka Yagnik, Kumar Sanu, Udit Narayan",BollywoodDanceRomantic,Dil Ka Rishta,0.8800000000000001
Aisa Des Hai Mera,"Gurdas Maan, Lata Mangeshkar, Preetha Mazumdar, Udit Narayan",BollywoodPatriotic,Veer Zaara,0.9
Lost Without You,"Ami Mishra, Anushka Shahaney",BollywoodSad,Half Girlfriend,0.96
Dhal Jaun Main,"Aakanksha Sharma, Jubin Nautiyal",BollywoodRomanticSad,Rustom,0.96
Badass Babuaa,"Abhishek Nailwal, Neha Bhasin, Sameer Uddin",BollywoodDance,Bareilly Ki Barfi,0.96
Aaj Kehna Zaroori Hai,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Andaaz,0.8699999999999999
Ye Toh Sach Hai Ke Bhagwan,Hariharan,BollywoodDance,Hum Saath-Saath Hain,0.85
Dastaan-e-Om Shanti Om,Shaan,BollywoodDance,Om Shanti Om,0.95
Saanson Ke,K.K.,BollywoodSad,Raees,0.96
O Jiji,"Pamela Jain, Shreya Ghoshal",BollywoodDance,Vivah,0.82
Hug Me,"Kanika Kapoor, Raghav Sachar",BollywoodDance,Beiimaan Love,0.9099999999999999
Halkat Jawani,Sunidhi Chauhan,BollywoodDance,Heroine,0.93
Ek Dil Hai,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Ek Rishtaa,0.86
Black Jama Hai,Sukhwinder Singh,Bollywood,Raid,0.93
Confused Lover,"Aaniya, Mika Singh",BollywoodDance,Teri Bhabhi Hai Pagle,0.95
Tumse Milne Ki Tamanna Hai,S.P. Balasubrahmanyam,BollywoodDance,Saajan,0.9099999999999999
Afsana,"Himesh Reshammiya, Tulsi Kumar",BollywoodDance,Dil Diya Hai,0.9199999999999999
Naina,"Armaan Malik, Sona Mohapatra",BollywoodRomanticSad,Khoobsurat,0.96
Naina,"Armaan Malik, Sona Mohapatra",BollywoodSad,Khoobsurat,0.96
Dil Mein Dard Sa Jaga Hai,"Alka Yagnik, Udit Narayan",BollywoodDance,Kranti,0.8800000000000001
Anarkali Disco Chali,"Mamta Sharma, Sukhwinder Singh",BollywoodDance,Housefull 2,0.8800000000000001
Jab Dil Miley,"Asha Bhosle, Udit Narayan",BollywoodDance,Yaadein,0.9099999999999999
Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Mohabbatein,0.9
Make Some Noise For The Desi Boyz,"Bob, K.K.",BollywoodDance,Desi Boyz,0.93
Aga Bhai,Monali Thakur,BollywoodDance,Aiyyaa,0.9099999999999999
Sehmi Hai Dhadkan,Atif Aslam,BollywoodSad,Daas Dev,0.97
Jawaani Le Doobi,"Kanika Kapoor, Uvie",BollywoodDance,Kyaa Kool Hain Hum 3,0.9
Humko Tumse Pyar Hai,Abhijeet,BollywoodDance,Ishq,0.9099999999999999
Sadda Move,"Diljit Dosanjh, Pardeep Singh Sran",BollywoodDance,Raabta,0.9199999999999999
Soniyo,"Neeraj Shridhar, Raju Singh, Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Raaz,0.96
Kaun Nachdi,"Guru Randhawa, Neeti Mohan",BollywoodDance,Sonu Ke Titu Ki Sweety,0.9400000000000001
Dhoom Machale,Sunidhi Chauhan,BollywoodDanceRomantic,Dhoom,0.9
Door Na Ja,Sonu Nigam,BollywoodSad,Mitron,0.97
Ishq Shava,"Raghav Mathur, Shilpa Rao",BollywoodDance,Jab Tak Hai Jaan,0.9400000000000001
Boss Title Track,"Anjjan, Meet Bros, Yo Yo Honey Singh",BollywoodDance,Boss,0.93
Tum Ko Dekha To Yeh Khayal Aya,"Chitra Singh, Jagjit Singh",BollywoodRomantic,Saath Saath,0.9199999999999999
Jaane Nahi Denge Tujhe,Sonu Nigam,BollywoodSad,3 Idiots,0.9099999999999999
Tadap Tadap,"Dominique, K.K.",BollywoodSad,Hum Dil De Chuke Sanam,0.89
Senti Wali Mental,"Amit Trivedi, Arijit Singh, Neeti Mohan, Swanand Kirkire",BollywoodDance,Shaandaar,0.93
Sapna Jahan,"Neeti Mohan, Sonu Nigam",BollywoodSad,Brothers,0.97
Urvashi Urvashi,"A.R. Rahman, Noel James, Shankar Mahadevan",BollywoodDance,Hum Se Hai Muqabala,0.9400000000000001
Tere Bina,"Arijit Singh, Priya Saraiya",BollywoodRomantic,Haseena Parkar,0.89
Hoor,Atif Aslam,BollywoodSad,Hindi Medium,0.93
Chhoti Chhoti Raatein,"Anuradha Paudwal, Sonu Nigam",BollywoodDanceRomantic,Tum Bin,0.8800000000000001
Sanson Ki Zarurat Hai Jaise,Kumar Sanu,BollywoodRomantic,Aashiqui,0.9
Zoobi Doobi,"Shreya Ghoshal, Sonu Nigam",BollywoodDanceRomantic,3 Idiots,0.9099999999999999
Mannat,"Keerthi Sagathia, Shreya Ghoshal, Sonu Nigam",BollywoodDance,Daawat e Ishq,0.93
Intezaar,Shreya Ghoshal,BollywoodSad,Tera Intezaar,0.9199999999999999
Agar Tu Hota,Ankit Tiwari,BollywoodSad,Baaghi,0.95
Hai Dil,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Dil Ka Rishta,0.8800000000000001
Pardesiya,"Ehsaan Noorani, Hemant Brijwasi, Sahil Akhtar, Shankar Mahadevan, Shehnaz Akhtar",BollywoodSad,Soorma,0.97
Ishtehaar,"Dhvani Bhanushali, Rahat Fateh Ali Khan",BollywoodSad,Welcome To New York,0.9400000000000001
Twist,Neeraj Shridhar,BollywoodDance,Love Aj Kal,0.9199999999999999
You’re My Life,"Earl, Shaan, Shweta Pandit, Suzanne D'Mello",BollywoodDanceRomantic,Partner,0.9
Mat Maari,"Kunal Ganjawala, Sunidhi Chauhan",BollywoodDance,R... Rajkumar,0.89
Mujhse Juda Hokar,"Lata Mangeshkar, S.P. Balasubrahmanyam",BollywoodSad,Hum Aapke Hain Koun,0.86
Second Hand Jawaani,"Miss Pooja, Nakkash Aziz, Neha Kakkar",BollywoodDance,Cocktail,0.9099999999999999
Naina Re,"Himesh Reshammiya, Rahat Fateh Ali Khan, Shreya Ghoshal",BollywoodSad,Dangerous Ishq,0.9
Tere Naina,"Shafqat Amanat Ali, Shankar Ehsaan Loy",BollywoodRomantic,My Name is Khan,0.96
Haathon Mein Thhe Haath,"Aditi Singh Sharma, Altamash Faridi, Arpita Mukherjee, Papon",BollywoodSad,Mubarakan,0.9400000000000001
Gajanana,"Shreyas Puranik, Sukhwinder Singh",BollywoodDevotional,Bajirao Mastani,0.93
Tum Mile,Neeraj Shridhar,BollywoodRomantic,Tum Mile,0.95
Meri Khamoshi Hai,Ishan Mitra,BollywoodSad,Pari,0.96
Oh My Darling,"Alisha Chinai, Sonu Nigam",BollywoodDance,Mujhse Dosti Karoge!,0.9099999999999999
Nainon Men Sapna,"Kishore Kumar, Lata Mangeshkar",BollywoodDance,Himmatwala,0.73
Tu Jo Hain,Ankit Tiwari,BollywoodRomanticSad,Mr. X,0.95
Dheere Dheere Bol Koi Sun Na Le,"Lata Mangeshkar, Mukesh",BollywoodRomantic,Gora Aur Kala,0.82
Mohenjo Daro,"A.R. Rahman, Arijit Singh, Bela Shende, Sanah Moidutty",BollywoodDance,Mohenjo Daro,0.9
Jai Jai Shiv Shankar,"Kishore Kumar, Lata Mangeshkar",BollywoodDance,Aap Ki Kasam,0.8400000000000001
Ladki Kyon Na Jane Kyon,"Alka Yagnik, Shaan",BollywoodDance,Hum Tum,0.9400000000000001
Drama Queen,"Shreya Ghoshal, Vishal Dadlani",BollywoodDance,Hasee Toh Phasee,0.95
Khaike Paan Banaras Wala,Kishore Kumar,BollywoodDance,Don,0.85
Tu Hi Haqeeqat,"Irshan Ashraf, Javed Ali, Shadaab Faridi",BollywoodRomantic,Tum Mile,0.95
Tune Maari Entriyaan (Bangla Version),"Bappi Lahiri, Monali Thakur",BollywoodDance,Gunday,0.8800000000000001
Gudgudi,Sunidhi Chauhan,Bollywood,Secret Superstar,0.93
Yeh Kaisi Jagah,"Deepali Sathe, Zubeen Garg",BollywoodSad,Hamari Adhuri Kahani,0.95
Bass Gira De Raja,Shashwat Sachdev,Bollywood,Veere Di Wedding,0.8099999999999999
Wada Karle Sajna Tere Bina,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Haath Ki Safai,0.8699999999999999
Jhalla Wallah,Shreya Ghoshal,BollywoodDance,Ishaqzaade,0.9099999999999999
Hamesha Tumko Chaha,"Kavita Krishnamurthy, Udit Narayan",BollywoodSad,Devdas,0.9199999999999999
Mujhko Barsaat Bana Lo,Armaan Malik,BollywoodRomantic,Junooniyat,0.93
Aaya Tere Dar Par,"Ahmed Hussain, Javed Hussain, Mohd Vakil, Mohd. Hussain",BollywoodDevotional,Veer Zaara,0.93
Ho Nahi Sakta,Udit Narayan,BollywoodRomantic,Diljale,0.8699999999999999
Saale Sapne,Mohit Chauhan,Bollywood,Padman,0.95
Kaun Tujhe,Armaan Malik,BollywoodRomantic,M.S. Dhoni-The Untold Story,0.96
Tere Liye,"Atif Aslam, Shreya Ghoshal",BollywoodDance,Prince,0.9099999999999999
Tu Isaq Mera,"Meet Bros, Neha Kakkar",BollywoodRomanticSensual,Hate Story 3,0.9
Shaam Shaandaar,Amit Trivedi,BollywoodDance,Shaandaar,0.93
Banjaara,Sukhwinder Singh,BollywoodDanceRomantic,Ek Tha Tiger,0.9099999999999999
Akkha India Janta Hai,Kumar Sanu,BollywoodRomantic,Jaan Tere Naam,0.82
Tharki Chokro,Swaroop Khan,BollywoodDance,PK,0.86
Phir Se,"Nikhil Dsouza, Shreya Ghoshal",Bollywood,Phir Se,0.95
Gale Lag Ja,"Banjyotsna, Javed Ali",BollywoodDanceSensual,De Dana Dan,0.9400000000000001
Aadat (Juda Hoke Bhi),Atif Aslam,BollywoodSad,Kalyug,0.93
Jane Kaise Kab Kahan Iqrar Ho Gaya,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Shakti,0.89
Agar Tum Mil Jao,Shreya Ghoshal,BollywoodRomantic,Zeher,0.89
Kaara Fankaara,"A.R. Rahman, Aaryan Dinesh Kanagaratnam, Ashima Mahajan, Hard Kaur, Kaly, Paroma Dasgupta, Shashaa Tirupati",BollywoodDance,Ok Jaanu,0.93
Chokra Jawaan,"Sunidhi Chauhan, Vishal Dadlani",BollywoodDance,Ishaqzaade,0.9099999999999999
Didi Tera Devar Deewana,"Lata Mangeshkar, S.P. Balasubrahmanyam",BollywoodDance,Hum Aapke Hain Koun,0.79
Saiyan Re,"Mohammed Irfan, Palak Muchhal",BollywoodRomantic,Nirdosh,0.97
Pal Pal Dil Ke Paas,Kishore Kumar,BollywoodRomantic,Blackmail,0.8800000000000001
Rail Gaddi,"Navraj Hans, Swati Sharrma",BollywoodDance,Tutak Tutak Tutiya,0.9099999999999999
Ek Din Bik Jayega Mati Ke Mol,Mukesh,BollywoodDance,Dharam Karam,0.9099999999999999
Main Koi Aisa Geet,Abhijeet,BollywoodDance,Yes Boss,0.9400000000000001
Yeh Ishq Hai,Shreya Ghoshal,BollywoodDance,Jab We Met,0.9400000000000001
Alizeh,"Alizeh Ash King, Arijit Singh, Shashwat Singh",BollywoodRomantic,Ae Dil Hai Mushkil,0.97
Kaho Na Kaho,Amir Jamal,BollywoodRomanticSensual,Murder,0.9099999999999999
Imli Ka Boota,"Mohammad Aziz, Sudesh Bhonsle",Bollywood,Saudagar,0.8400000000000001
Hey Shona,"Shaan, Sunidhi Chauhan",BollywoodDanceRomantic,Tara Rum Pum,0.93
Chalte Chalte,"Manohar Shetty, Preetha Mazumdar, Sonali Bhatawdekar, Udbhav",BollywoodDance,Mohabbatein,0.9199999999999999
Iktara,"Amit Trivedi, Amitabh Bhattacharya, Kavita Seth",BollywoodRomantic,Wake Up Sid,0.96
Aap Ki Nazron Ne Samjha,Lata Mangeshkar,BollywoodRomantic,Anpadh,0.9199999999999999
Tu Chahiye,Atif Aslam,BollywoodRomantic,Bajrangi Bhaijaan,0.93
Ole Ole,Abhijeet,BollywoodDance,Ye Dillagi,0.9099999999999999
Tutak Tutak Tutiya,"Kanika Kapoor, Malkit Singh, Sonu Sood",BollywoodDance,Tutak Tutak Tutiya,0.89
Meri Duniya Tu Hi Re,"Shaan, Shankar Mahadevan, Sonu Nigam",BollywoodDance,Heyy Babyy,0.9
Mujhko Yaad Sataye Teri,Himesh Reshammiya,BollywoodDance,Phir Hera Pheri,0.9199999999999999
Jane Kahan Gaye Woh Din,Mukesh,BollywoodSad,Mera Naam Joker,0.8800000000000001
Nonsense Ki Night,Mika Singh,BollywoodDance,Happy New Year,0.9199999999999999
Daaru Desi,"Benny Dayal, Shalmali Kholgade",BollywoodDance,Cocktail,0.9400000000000001
Fugly Fugly Kya Hai,Yo Yo Honey Singh,BollywoodDance,Fugly,0.9400000000000001
Buddhu Sa Mann,"Amaal Mallik, Armaan Malik",BollywoodDance,Kapoor & Sons,0.9400000000000001
Jiska Mujhe Tha Intezar,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Don,0.82
Raat Ka Nasha,K. S. Chithra,BollywoodDance,Asoka,0.93
Zara Zara Touch Me,Monali Thakur,BollywoodDanceSensual,Race,0.93
Wada Karo Nahi Chodoge,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Aa Gale Lag Jaa,0.9099999999999999
Sajde,"Arijit Singh, Gulzar, Nihira Joshi Deshpande",BollywoodRomantic,Kill Dil,0.9400000000000001
Khair Mangda,Atif Aslam,BollywoodSad,A Flying Jatt,0.93
Tere Naal Ishqa,Kailash Kher,BollywoodSad,Shivaay,0.9400000000000001
Na Na Na Re,"Daler Mehndi, Sudesh Bhonsle",BollywoodDance,Mrityudaata,0.8800000000000001
Tum Aa Gaye Ho Noor Aa Gaya Hai,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Aandhi,0.9
Mujeh Naulakha Mangade,"Bappi Lahiri, Kishore Kumar",BollywoodDance,Sharaabi,0.76
Ainvayi Ainvayi,"Salim Merchant, Sunidhi Chauhan",BollywoodDance,Band Baaja Baaraat,0.93
Awaaz Deke,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Professor,0.8300000000000001
Tum Tak,"A.R. Rahman, A.V. Pooja, Javed Ali, Kirti Sagathia",BollywoodDanceRomantic,Raanjhanaa,0.9400000000000001
Chitta Ve,"Babu Haabi, Bhanu Pratap, Shahid Mallya",BollywoodDance,Udta Punjab,0.89
Get Up Jawani,"Badshah, Yo Yo Honey Singh",BollywoodDance,International Villager,0.9400000000000001
Ji Huzoori,"Deepali, Mithoon",BollywoodRomantic,Ki & Ka,0.93
Dhingana,Mikha Singh,BollywoodDance,Raees,0.93
Sapna,Arijit Singh,BollywoodSad,Parmanu The Story of Pokhran,0.97
Bandeyaa,Jubin Nautiyal,BollywoodSad,Jazbaa,0.95
Maula Mere Lele Meri Jaan,"Krishna Beura, Salim Merchant",BollywoodDevotionalSad,Chak De India,0.96
Rang De Basanti,"Daler Mehndi, K. S. Chithra",BollywoodDancePatriotic,Rang De Basanti,0.9400000000000001
Kundali,"Anita Gandharva, Meenal Jain, Meghna Mishra, Rani Kaur, Vaishnavi Mishra, Yashika Sikka, Yashita Sharma",BollywoodDance,Manmarziyaan,0.9199999999999999
Shuru Kar,"Amit Mishra, Neha Bhasin, Rochak Kohli",BollywoodDance,Aiyaary,0.93
Je T’aime,"Sunidhi Chauhan, Vishal Dadlani",Bollywood,Befikre,0.95
Tooh,"Mamta Sharma, Mika Singh, Shekhar, Vishal",BollywoodDance,Gori Tere Pyaar Mein,0.93
